"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"109","208_16S","85_Z","MP_129_16S","Zooplankton","Bosmina",50,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",267
"110","209_16S","49_Z","MP_130_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",678
"111","21_16S","111_Z","MP_131_16S","Zooplankton","Holopedium",8,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"cladocera","Above",2863
"112","210_16S","48_Z22","MP_132_16S","Zooplankton","Cyclopoid",98,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"copepoda","Above",1525
"113","211_16S","83_Z","MP_133_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",649
"114","212_16S","20_Z22","MP_134_16S","Zooplankton","Cyclopoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",246325
"115","213_16S","124_Z","MP_135_16S","Zooplankton","Holopedium",10,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",167702
"116","214_16S","17_Z22","MP_136_16S","Zooplankton","Daphnia",30,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"cladocera","Above",3644
"117","215_16S","21_Z","MP_137_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Blue",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"cladocera","Above",853
"118","216_16S","96_Z","MP_138_16S","Zooplankton","Calanoid",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"copepoda","Above",15163
